,address,lat,lon,title
0,"No.111 Section 3, Minsheng East Road, Songshan Dist., Taipei 105, Taiwan ",25.058088,121.54586,The Sherwood Taipei
1,"No.30 Youya Road, Beitou District, Taipei 11243, Taiwan ",25.137793,121.51495,Grand View Resort Beitou
2,"No.57 Taiyuan Road, Datong District, Taipei 103, Taiwan ",25.05109,121.51539,Bee House - Taipei Station Branch
3,"No.28 Section 1, Minsheng East Road, Zhongshan District, Taipei 104, Taiwan ",25.057854,121.52409,YoMi Hotel
4,"No.3 Zhongshan Road, Beitou District, Taipei 11243, Taiwan ",25.137163,121.50544,Beitou Hot Spring Resort (Tian Yue Quan)
5,"2F, No.76 Linyi Street, Zhongzheng District, Taipei 10056, Taiwan ",25.03447,121.52779,Dongmen Hotel
6,"1F., No.209, Sec. 1, Civic Blvd, Taipei, Taiwan ",25.04879,121.51857,iTaipei Service Apartment
7,"2F., No.12 Lane 21, Zhengzhou Road, Datong District, Taipei 103, Taiwan ",25.049322,121.51413,Main Inn Taipei
8,"No.18 Songgao Road, Xinyi District, Taipei 11073, Taiwan ",25.039248,121.56741,Humble House Taipei
9,"No.77 Chang'an West Road, Datong District, Taipei 103, Taiwan ",25.051022,121.51667,CityInn Hotel - Taipei Station Branch III
10,"10F., No.72, Sec. 2, Wuchang Street, Ximending, Taipei 10844, Taiwan ",25.04485,121.506325,Swiio Hotel
11,"4F., No.11, Sec. 2, Nanjing E. Road, Taipei 104, Taiwan ",25.052057,121.52831,Taipei Morning Hotel
12,"77 Section 2 Wuchang Street, Taipei 10843, Taiwan ",25.045166,121.50567,amba TAIPEI XIMENDING
13,"No.131 Section 3, Nanjing East Road, Zhongshan District, Taipei 104, Taiwan ",25.05203,121.54097,FX Hotel - Taipei Nanjing East Road
14,"2F, No.42, Section 1, Minsheng East Road, Taipei 104, Taiwan ",25.058155,121.52451,Via Hotel Loft
15,"No.236 Guangming Road, Peitou District, Taipei, Taiwan ",25.136833,121.50633,Radium Kagaya International Hotel
16,"No.12, Section 1, Zhongxiao East Road, Taipei 100, Taiwan ",25.044834,121.52251,Sheraton Grande Taipei Hotel
17,"No.38 Songren Road, Xinyi District, Taipei 110, Taiwan ",25.037867,121.56796,Le Meridien Taipei
18,"No.90 Songren Road, Xinyi District, Taipei, Taiwan ",25.035036,121.5677,Home Hotel
19,"No.333 Nanjing East Road, Section 3, Songshan District, Taipei 105, Taiwan ",25.051939,121.54755,HOTEL QUOTE Taipei
20,"No.63 Sung Chiang Road, Taipei 104, Taiwan ",25.04892,121.53329,Evergreen Laurel Hotel
21,"No.63 Baoqing Road, Zhongzheng District, Taipei, Taiwan ",25.041847,121.50927,CityInn Hotel Plus - Ximending Branch
22,"No.600 Linshen North Road, Zhongshan District, Taipei 104, Taiwan ",25.06592,121.52569,Imperial Hotel Taipei
23,"No.11 Youya Road, Beitou District, Taipei 112, Taiwan ",25.13717,121.5122,Hotel DOUBLE ONE
24,"11F, No.495 Guangfu South Road, Xinyi District, Taipei, Taiwan ",25.032547,121.55829,Pacific Business Hotel
25,"No.186 Sung Chiang Road, Taipei 10467, Taiwan ",25.056469,121.532776,Taipei Gala Hotel
26,"No.70 Tianjin Street, Zhongshan District, Taipei, Taiwan ",25.051615,121.52337,Dandy Hotel - Tianjin Branch
27,"No.169 Nanjing West Road, Tatung District, Taipei, Taiwan ",25.05418,121.51284,City Suites Taipei Nanxi
28,"No.200 Kwang-Fu South Road, Da'an District, Taipei 106, Taiwan ",25.042334,121.5575,United Hotel
29,"No.38, Sec. 1, Nanjing E. Road, Taipei, Taiwan ",25.05211,121.52393,Leofoo Residences
30,"No.331 Section 1, Dunhua South Road, Taipei 10685, Taiwan ",25.034042,121.5492,Madison Taipei
31,"No.111 Section 3, Minsheng East Road, Songshan Dist., Taipei 105, Taiwan ",25.058088,121.54586,The Sherwood Taipei
32,"No.258 Section 2, Yanping North Road, Datong District, Taipei 103, Taiwan ",25.06032,121.51127,Dong Wu Hotel
33,"No.15, Sec. 1, Hankou Street, Taipei 10046, Taiwan ",25.045238,121.51449,Hotel Relax II
34,"No.39 Changchun Road, Zhongshan District, Taipei 104, Taiwan (Formerly Horng Gong Hotel Taipei)",25.05494,121.52591,Tokyo International Hotel
35,"No.135 Section 1, Da'an Road, Taipei 106, Taiwan ",25.038345,121.54609,Les Suites Taipei Da An
36,"No.411, Sec. 5, Nanjing East Road, Songshan District, Taipei 105, Taiwan ",25.05142,121.57016,City Suites-Taipei Nandong
37,"No.1 Qiyan Road, Beitou District, Taipei 11242, Taiwan ",25.134659,121.507195,The Gaia Hotel
38,"No.253 Songjiang Road, Taipei 104, Taiwan ",25.059462,121.53338,Check Inn Taipei
39,"No.255, Section 2, Xinyi Road, Taipei 100, Taiwan ",25.03375,121.53146,ARK Hotel
40,"No.26 Zhongshan Road, Beitou District, Taipei 112, Taiwan ",25.13782,121.51026,Royal Seasons Hotel (Hot Spring Beitou)
41,"3-12F, No.163, Section 2 Xinyi Road, Zhongzheng District, Taipei 100, Taiwan ",25.034039,121.52882,Chaiin Hotel - Dongmen
42,"No.255 Section 3, Nanking East Road, Taipei, Taiwan ",25.051788,121.5445,Brother Hotel Taipei
43,"No.646 Linsen North Road, Taipei 104, Taiwan ",25.068357,121.52553,Riviera Hotel
44,"No.133 Section 3, Nanking East Road, Taipei 104, Taiwan ",25.052166,121.541115,The Westin Taipei
45,"No.297 Section 5, Zhongxiao East Road, Xinyi District, Taipei 11066, Taiwan ",25.04089,121.57295,THE Tango Taipei XinYi
46,"No.326,330 Nanjing West Road, Taipei 103, Taiwan ",25.053894,121.51289,Royal Seasons Hotel Taipei Nanjing West
47,"No.213 Section 4, Pateh Road, Songshan District, Taipei 105, Taiwan (Formerly The Richforest Hotel)",25.04886,121.56414,Lealea Garden Hotels-Taipei
48,"No.2 Lane 90, Section 1, Roosevelt Road, Taipei 100, Taiwan ",25.030077,121.51966,Saual Keh Hotel
49,"No.11 Section 3, Hsin-Yi Road, Da'an District, Taipei, Taiwan ",25.03375,121.53374,Rido Hotel
50,"No.63 Section 2, Zhongshan North Road, Taipei 10446, Taiwan ",25.056581,121.52313,Ambassador Hotel Taipei
51,"No.83 Section 3, Civic Boulevard, Zhongshan District, Taipei 10491, Taiwan ",25.044691,121.53747,Miramar Garden Taipei
52,"No.6 Lane 27 Chengdu Road, Wanhua District, Taipei 108, Taiwan (Formerly Good Ground Hotel)",25.04291,121.50681,Hotel Puri
53,"2F., No.17, Lane 114, Section 1 Chunghua Road, Taipei 10843, Taiwan ",25.043793,121.50813,Via Hotel
54,"No.224 Cuang Ming Road, Beitou District, Taipei 112, Taiwan ",25.13603,121.50548,Sweetme Hotspring Resort
55,"No.18 Section 1, Chongqing South Road, Zhongzheng District, Taipei 100, Taiwan (Formerly Onestar Hotel)",25.04624,121.51313,Sun Rise Business Hotel - Taipei Main Station
56,"No.32 Zhongshan Road, Beitou District, Taipei 112, Taiwan ",25.137833,121.5105,Villa 32
